Individual,Treatment,Food.Level,Date,Day,Body.Length
CM11,Control,Medium,7/9/24,10,1335.29
CM21,Control,Medium,7/9/24,10,1357.79
CM25,Control,Medium,7/9/24,10,1281.26
CM20,Control,Medium,7/9/24,10,1134.74
CM31,Control,Medium,7/9/24,10,1379.18
CM38,Control,Medium,7/9/24,10,1334.03
CM40,Control,Medium,7/9/24,10,1333.13
CM48,Control,Medium,7/9/24,10,1331.68
MH1,MicG,High,7/9/24,10,1499.74
MH6,MicG,High,7/9/24,10,1439.97
MH15,MicG,High,7/9/24,10,1389.11
MH8,MicG,High,7/9/24,10,1444.4
MH24,MicG,High,7/9/24,10,1448.83
MH26,MicG,High,7/9/24,10,1398.04
MH33,MicG,High,7/9/24,10,1452.9
MH36,MicG,High,7/9/24,10,1479.28
MH41,MicG,High,7/9/24,10,1431.96
MH43,MicG,High,7/9/24,10,1532.18
ML4,MicG,Low,7/9/24,10,1228.44
ML5,MicG,Low,7/9/24,10,1166.47
ML7,MicG,Low,7/9/24,10,1122.52
ML16,MicG,Low,7/9/24,10,1281.67
ML20,MicG,Low,7/9/24,10,1264.62
ML17,MicG,Low,7/9/24,10,1100.16
ML34,MicG,Low,7/9/24,10,1235.85
ML37,MicG,Low,7/9/24,10,1192.65
ML25,MicG,Low,7/9/24,10,1145.82
ML31,MicG,Low,7/9/24,10,1250.87
MM5,MicG,Medium,7/9/24,10,1235.27
MM1,MicG,Medium,7/9/24,10,1030.4
MM13,MicG,Medium,7/9/24,10,1166.28
MM19,MicG,Medium,7/9/24,10,1181
MM30,MicG,Medium,7/9/24,10,1294.95
MM27,MicG,Medium,7/9/24,10,1142.07
MM33,MicG,Medium,7/9/24,10,1268.75
MM39,MicG,Medium,7/9/24,10,1278.48
MM46,MicG,Medium,7/9/24,10,1335.93
MM49,MicG,Medium,7/9/24,10,1338.93
CH5,Control,High,7/16/24,17,1690.65
CH9,Control,High,7/16/24,17,1560.5
CH13,Control,High,7/16/24,17,1572.28
CH20,Control,High,7/16/24,17,1660.05
CH21,Control,High,7/16/24,17,1661.08
CH29,Control,High,7/16/24,17,1596.25
CH42,Control,High,7/16/24,17,1505.48
CH39,Control,High,7/16/24,17,1760.17
CH19,Control,High,7/16/24,17,1727.25
CH49,Control,High,7/16/24,17,1571.31
CL20,Control,Low,7/16/24,17,1136.38
CL8,Control,Low,7/16/24,17,1329.51
CL11,Control,Low,7/16/24,17,1474.51
CL30,Control,Low,7/16/24,17,1404.52
CL18,Control,Low,7/16/24,17,1458.39
CL21,Control,Low,7/16/24,17,1417.36
CL31,Control,Low,7/16/24,17,1381.91
CL36,Control,Low,7/16/24,17,1360.74
CL40,Control,Low,7/16/24,17,1373.73
CL37,Control,Low,7/16/24,17,1469.06
CM18,Control,Medium,7/16/24,17,1473.31
CM3,Control,Medium,7/16/24,17,1351.76
CM6,Control,Medium,7/16/24,17,1423.12
CM21,Control,Medium,7/16/24,17,1431.03
CM25,Control,Medium,7/16/24,17,1331.1
CM20,Control,Medium,7/16/24,17,1334.09
CM44,Control,Medium,7/16/24,17,1509.77
CM38,Control,Medium,7/16/24,17,1440.05
CM40,Control,Medium,7/16/24,17,1451.61
CM47,Control,Medium,7/16/24,17,1523.38
MH1,MicG,High,7/16/24,17,1597.83
MH6,MicG,High,7/16/24,17,1570.55
MH15,MicG,High,7/16/24,17,1576.09
MH8,MicG,High,7/16/24,17,1573.42
MH24,MicG,High,7/16/24,17,1617.12
MH26,MicG,High,7/16/24,17,1431.03
MH33,MicG,High,7/16/24,17,1517.57
MH36,MicG,High,7/16/24,17,1655.57
MH41,MicG,High,7/16/24,17,1580.65
MH43,MicG,High,7/16/24,17,1624.77
ML4,MicG,Low,7/16/24,17,1362.05
ML5,MicG,Low,7/16/24,17,1371.98
ML7,MicG,Low,7/16/24,17,1262.84
ML16,MicG,Low,7/16/24,17,1367.28
ML20,MicG,Low,7/16/24,17,1384.58
ML6,MicG,Low,7/16/24,17,1343.03
ML34,MicG,Low,7/16/24,17,1416.42
ML37,MicG,Low,7/16/24,17,1240.37
ML25,MicG,Low,7/16/24,17,1314.56
ML31,MicG,Low,7/16/24,17,1323.91
MM5,MicG,Medium,7/16/24,17,1325.49
MM1,MicG,Medium,7/16/24,17,1285.74
MM13,MicG,Medium,7/16/24,17,1401.34
MM19,MicG,Medium,7/16/24,17,1364.79
MM29,MicG,Medium,7/16/24,17,1385.92
MM27,MicG,Medium,7/16/24,17,1217.69
MM33,MicG,Medium,7/16/24,17,1393.7
MM39,MicG,Medium,7/16/24,17,1428.72
MM46,MicG,Medium,7/16/24,17,1397.45
MM47,MicG,Medium,7/16/24,17,1456.56
CH5,Control,High,7/23/24,24,1846.38
CH9,Control,High,7/23/24,24,1793.31
CH28,Control,High,7/23/24,24,1770.9
CH20,Control,High,7/23/24,24,1861.93
CH21,Control,High,7/23/24,24,1825.35
CH29,Control,High,7/23/24,24,1833.43
CH42,Control,High,7/23/24,24,1717.18
CH39,Control,High,7/23/24,24,1883.1
CH19,Control,High,7/23/24,24,1840.15
CH49,Control,High,7/23/24,24,1764.45
CL20,Control,Low,7/23/24,24,1510.75
CL8,Control,Low,7/23/24,24,1440.23
CL11,Control,Low,7/23/24,24,1542.96
CL30,Control,Low,7/23/24,24,1478.74
CL18,Control,Low,7/23/24,24,1539.72
CL21,Control,Low,7/23/24,24,1447.13
CL31,Control,Low,7/23/24,24,1458.32
CL36,Control,Low,7/23/24,24,1480.9
CL40,Control,Low,7/23/24,24,1455.53
CL37,Control,Low,7/23/24,24,1431.03
CM5,Control,Medium,7/23/24,24,1520.3
CM14,Control,Medium,7/23/24,24,1452.18
CM17,Control,Medium,7/23/24,24,1658.04
CM24,Control,Medium,7/23/24,24,1617.84
CM37,Control,Medium,7/23/24,24,1368.28
CM20,Control,Medium,7/23/24,24,1394.84
CM39,Control,Medium,7/23/24,24,1547.73
CM38,Control,Medium,7/23/24,24,1564.86
CM40,Control,Medium,7/23/24,24,1561.7
CM42,Control,Medium,7/23/24,24,1491.93
MH1,MicG,High,7/23/24,24,1627.74
MH6,MicG,High,7/23/24,24,1624.7
MH15,MicG,High,7/23/24,24,1647.56
MH8,MicG,High,7/23/24,24,1664.01
MH24,MicG,High,7/23/24,24,1366.7
MH26,MicG,High,7/23/24,24,1554.57
MH33,MicG,High,7/23/24,24,1607.91
MH46,MicG,High,7/23/24,24,1675.95
MH41,MicG,High,7/23/24,24,1743.48
MH43,MicG,High,7/23/24,24,1722.93
ML30,MicG,Low,7/23/24,24,1368.96
ML50,MicG,Low,7/23/24,24,1473.16
ML16,MicG,Low,7/23/24,24,1421.93
ML34,MicG,Low,7/23/24,24,1528.32
MM6,MicG,Medium,7/23/24,24,1268.96
MM1,MicG,Medium,7/23/24,24,1383.84
MM9,MicG,Medium,7/23/24,24,1518.56
MM21,MicG,Medium,7/23/24,24,1409.83
